Year,Inflation Rate,Moving Average
1960,1.24378109452731,
1961,2.45700245700254,
1962,3.11750599520378,
1963,0.697674418604589,
1964,-0.0993048669314341,1.4833318196813567
1965,3.57852882806742,1.950281366389379
1966,5.01439539323414,2.461759953635699
1967,1.75919579598299,2.190097913791541
1968,0.366711570051019,2.123905344080827
1969,-0.17150100656233,2.1094661161546475
1970,2.18852703907439,1.8314657583560419
1971,3.78020612544907,1.584627904799028
1972,5.83164474311005,2.3991176942244397
1973,9.28119422332106,4.182014224878448
1974,17.8099480331818,7.778304032827275
1975,19.1201840136051,11.164635427733415
1976,11.4490304932756,12.698400301298722
1977,14.8209644818935,14.496264249055411
1978,16.9317824582842,16.026381896048044
1979,7.97935261848786,14.060262813109253
1980,13.8581814562484,13.00786230163791
1981,11.6030534351142,13.038666890005633
1982,20.6667146662827,14.20781692688347
1983,11.3977827368523,13.101016982597093
1984,10.284098213138,13.56196610152712
1985,13.0065664218827,13.39164309465398
1986,2.53427598892888,11.577887605416915
1987,8.63767318980084,9.172079310120543
1988,12.2649630481582,9.345515372381723
1989,13.7893172763883,10.046559185031784
1990,17.78181442992,11.001608786639244
1991,20.0844955754632,14.511652703946108
1992,27.3323644475784,18.25059095550162
1993,45.9788813036218,24.993374606594337
1994,28.8143894306731,27.998389037451297
1995,1.55432816055009,24.75289178357732
1996,8.86408741577522,22.508810151639718
1997,11.3618450505783,19.3147062722397
1998,6.72243650753928,11.463417313023196
1999,5.74200109520484,6.848939645929546
2000,9.98002515350979,8.534079044521485
2001,5.73859814341467,7.908981190049376
2002,1.96130821739162,6.02887382341204
2003,9.81569062979654,6.6475246478634915
2004,11.6240355442426,7.823931537671044
2005,10.3127783574683,7.890482178462747
2006,14.4537342081708,9.633509391413972
2007,9.75888023027529,11.193023793990708
2008,26.2398166445063,14.477848996932659
2009,9.23412592394652,13.999867072873442
2010,3.96138889115385,12.729589179610551
2011,14.0224913014704,12.643340598270472
2012,9.37777003547598,12.56711855931061
2013,5.71749357037733,8.462653944484817
2014,6.87815499275949,7.9914597582474105
2015,6.58215429284779,8.515612838586199
2016,6.29724953814625,6.970564485921368
2017,8.00564967709945,6.696140414246062
2018,4.6898064677633,6.490602993723256
2019,5.23963795764792,6.162899586700942
2020,5.40516207933392,5.927501143998168
2021,6.10793603659176,5.889638443687271
2022,7.65986268272224,5.820481044811828
2023,7.67139634029402,6.416799019317972
2024,4.48978854243448,6.266829136275284
